actors,director,movie_name
Tim Robbins,Frank Darabont,The Shawshank Redemption
Morgan Freeman,Frank Darabont,The Shawshank Redemption
Bob Gunton,Frank Darabont,The Shawshank Redemption
William Sadler,Frank Darabont,The Shawshank Redemption
Clancy Brown,Frank Darabont,The Shawshank Redemption
Gil Bellows,Frank Darabont,The Shawshank Redemption
Mark Rolston,Frank Darabont,The Shawshank Redemption
James Whitmore,Frank Darabont,The Shawshank Redemption
Jeffrey DeMunn,Frank Darabont,The Shawshank Redemption
Larry Brandenburg,Frank Darabont,The Shawshank Redemption
Neil Giuntoli,Frank Darabont,The Shawshank Redemption
Brian Libby,Frank Darabont,The Shawshank Redemption
David Proval,Frank Darabont,The Shawshank Redemption
Joseph Ragno,Frank Darabont,The Shawshank Redemption
Jude Ciccolella,Frank Darabont,The Shawshank Redemption
Paul McCrane,Frank Darabont,The Shawshank Redemption
Renee Blaine,Frank Darabont,The Shawshank Redemption
Scott Mann,Frank Darabont,The Shawshank Redemption
Scott Mann,Frank Darabont,The Shawshank Redemption
Marlon Brando,Francis Ford Coppola,The Godfather
Al Pacino,Francis Ford Coppola,The Godfather
James Caan,Francis Ford Coppola,The Godfather
Diane Keaton,Francis Ford Coppola,The Godfather
Richard S. Castellano,Francis Ford Coppola,The Godfather
Robert Duvall,Francis Ford Coppola,The Godfather
Sterling Hayden,Francis Ford Coppola,The Godfather
John Marley,Francis Ford Coppola,The Godfather
Richard Conte,Francis Ford Coppola,The Godfather
Al Lettieri,Francis Ford Coppola,The Godfather
Abe Vigoda,Francis Ford Coppola,The Godfather
Talia Shire,Francis Ford Coppola,The Godfather
Gianni Russo,Francis Ford Coppola,The Godfather
John Cazale,Francis Ford Coppola,The Godfather
Rudy Bond,Francis Ford Coppola,The Godfather
Al Martino,Francis Ford Coppola,The Godfather
Morgana King,Francis Ford Coppola,The Godfather
Lenny Montana,Francis Ford Coppola,The Godfather
Lenny Montana,Francis Ford Coppola,The Godfather
Christian Bale,Christopher Nolan,The Dark Knight
Heath Ledger,Christopher Nolan,The Dark Knight
Aaron Eckhart,Christopher Nolan,The Dark Knight
Michael Caine,Christopher Nolan,The Dark Knight
Maggie Gyllenhaal,Christopher Nolan,The Dark Knight
Gary Oldman,Christopher Nolan,The Dark Knight
Morgan Freeman,Christopher Nolan,The Dark Knight
Monique Gabriela Curnen,Christopher Nolan,The Dark Knight
Ron Dean,Christopher Nolan,The Dark Knight
Cillian Murphy,Christopher Nolan,The Dark Knight
Chin Han,Christopher Nolan,The Dark Knight
Nestor Carbonell,Christopher Nolan,The Dark Knight
Eric Roberts,Christopher Nolan,The Dark Knight
Ritchie Coster,Christopher Nolan,The Dark Knight
Anthony Michael Hall,Christopher Nolan,The Dark Knight
Keith Szarabajka,Christopher Nolan,The Dark Knight
Colin McFarlane,Christopher Nolan,The Dark Knight
Joshua Harto,Christopher Nolan,The Dark Knight
Joshua Harto,Christopher Nolan,The Dark Knight
Al Pacino,Francis Ford Coppola,The Godfather Part II
Robert De Niro,Francis Ford Coppola,The Godfather Part II
Robert Duvall,Francis Ford Coppola,The Godfather Part II
Diane Keaton,Francis Ford Coppola,The Godfather Part II
John Cazale,Francis Ford Coppola,The Godfather Part II
Talia Shire,Francis Ford Coppola,The Godfather Part II
Lee Strasberg,Francis Ford Coppola,The Godfather Part II
Michael V. Gazzo,Francis Ford Coppola,The Godfather Part II
G.D. Spradlin,Francis Ford Coppola,The Godfather Part II
Richard Bright,Francis Ford Coppola,The Godfather Part II
Gastone Moschin,Francis Ford Coppola,The Godfather Part II
Tom Rosqui,Francis Ford Coppola,The Godfather Part II
Bruno Kirby,Francis Ford Coppola,The Godfather Part II
Frank Sivero,Francis Ford Coppola,The Godfather Part II
Francesca De Sapio,Francis Ford Coppola,The Godfather Part II
Morgana King,Francis Ford Coppola,The Godfather Part II
Marianna Hill,Francis Ford Coppola,The Godfather Part II
Leopoldo Trieste,Francis Ford Coppola,The Godfather Part II
Leopoldo Trieste,Francis Ford Coppola,The Godfather Part II
Henry Fonda,Sidney Lumet,12 Angry Men
Lee J. Cobb,Sidney Lumet,12 Angry Men
Martin Balsam,Sidney Lumet,12 Angry Men
John Fiedler,Sidney Lumet,12 Angry Men
E.G. Marshall,Sidney Lumet,12 Angry Men
Jack Klugman,Sidney Lumet,12 Angry Men
Edward Binns,Sidney Lumet,12 Angry Men
Jack Warden,Sidney Lumet,12 Angry Men
Joseph Sweeney,Sidney Lumet,12 Angry Men
Ed Begley,Sidney Lumet,12 Angry Men
George Voskovec,Sidney Lumet,12 Angry Men
Robert Webber,Sidney Lumet,12 Angry Men
Rudy Bond,Sidney Lumet,12 Angry Men
Tom Gorman,Sidney Lumet,12 Angry Men
James Kelly,Sidney Lumet,12 Angry Men
Billy Nelson,Sidney Lumet,12 Angry Men
John Savoca,Sidney Lumet,12 Angry Men
Walter Stocker,Sidney Lumet,12 Angry Men
Walter Stocker,Sidney Lumet,12 Angry Men
Liam Neeson,Steven Spielberg,Schindler's List
Ralph Fiennes,Steven Spielberg,Schindler's List
Ben Kingsley,Steven Spielberg,Schindler's List
Caroline Goodall,Steven Spielberg,Schindler's List
Jonathan Sagall,Steven Spielberg,Schindler's List
Embeth Davidtz,Steven Spielberg,Schindler's List
Malgorzata Gebel,Steven Spielberg,Schindler's List
Shmuel Levy,Steven Spielberg,Schindler's List
Mark Ivanir,Steven Spielberg,Schindler's List
Béatrice Macola,Steven Spielberg,Schindler's List
Andrzej Seweryn,Steven Spielberg,Schindler's List
Friedrich von Thun,Steven Spielberg,Schindler's List
Krzysztof Luft,Steven Spielberg,Schindler's List
Harry Nehring,Steven Spielberg,Schindler's List
Norbert Weisser,Steven Spielberg,Schindler's List
Adi Nitzan,Steven Spielberg,Schindler's List
Michael Schneider,Steven Spielberg,Schindler's List
Miri Fabian,Steven Spielberg,Schindler's List
Miri Fabian,Steven Spielberg,Schindler's List
Elijah Wood,Peter Jackson,The Lord of the Rings: The Return of the King
Viggo Mortensen,Peter Jackson,The Lord of the Rings: The Return of the King
Ian McKellen,Peter Jackson,The Lord of the Rings: The Return of the King
Orlando Bloom,Peter Jackson,The Lord of the Rings: The Return of the King
Noel Appleby,Peter Jackson,The Lord of the Rings: The Return of the King
Ali Astin,Peter Jackson,The Lord of the Rings: The Return of the King
Sean Astin,Peter Jackson,The Lord of the Rings: The Return of the King
David Aston,Peter Jackson,The Lord of the Rings: The Return of the King
John Bach,Peter Jackson,The Lord of the Rings: The Return of the King
Sean Bean,Peter Jackson,The Lord of the Rings: The Return of the King
Cate Blanchett,Peter Jackson,The Lord of the Rings: The Return of the King
Billy Boyd,Peter Jackson,The Lord of the Rings: The Return of the King
Sadwyn Brophy,Peter Jackson,The Lord of the Rings: The Return of the King
Alistair Browning,Peter Jackson,The Lord of the Rings: The Return of the King
Marton Csokas,Peter Jackson,The Lord of the Rings: The Return of the King
Richard Edge,Peter Jackson,The Lord of the Rings: The Return of the King
Jason Fitch,Peter Jackson,The Lord of the Rings: The Return of the King
Bernard Hill,Peter Jackson,The Lord of the Rings: The Return of the King
Bernard Hill,Peter Jackson,The Lord of the Rings: The Return of the King
John Travolta,Quentin Tarantino,Pulp Fiction
Uma Thurman,Quentin Tarantino,Pulp Fiction
Samuel L. Jackson,Quentin Tarantino,Pulp Fiction
Bruce Willis,Quentin Tarantino,Pulp Fiction
Tim Roth,Quentin Tarantino,Pulp Fiction
Amanda Plummer,Quentin Tarantino,Pulp Fiction
Laura Lovelace,Quentin Tarantino,Pulp Fiction
Phil LaMarr,Quentin Tarantino,Pulp Fiction
Frank Whaley,Quentin Tarantino,Pulp Fiction
Burr Steers,Quentin Tarantino,Pulp Fiction
Ving Rhames,Quentin Tarantino,Pulp Fiction
Paul Calderon,Quentin Tarantino,Pulp Fiction
Bronagh Gallagher,Quentin Tarantino,Pulp Fiction
Rosanna Arquette,Quentin Tarantino,Pulp Fiction
Eric Stoltz,Quentin Tarantino,Pulp Fiction
Jerome Patrick Hoban,Quentin Tarantino,Pulp Fiction
Michael Gilden,Quentin Tarantino,Pulp Fiction
Gary Shorelle,Quentin Tarantino,Pulp Fiction
Gary Shorelle,Quentin Tarantino,Pulp Fiction
Elijah Wood,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Ian McKellen,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Orlando Bloom,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Sean Bean,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Alan Howard,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Noel Appleby,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Sean Astin,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Sala Baker,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Billy Boyd,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Andy Serkis,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Marton Csokas,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Viggo Mortensen,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Megan Edwards,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Michael Elsworth,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Cate Blanchett,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Mark Ferguson,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Ian Holm,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Christopher Lee,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Christopher Lee,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
Clint Eastwood,Sergio Leone,"The Good, the Bad and the Ugly"
Eli Wallach,Sergio Leone,"The Good, the Bad and the Ugly"
Lee Van Cleef,Sergio Leone,"The Good, the Bad and the Ugly"
Aldo Giuffrè,Sergio Leone,"The Good, the Bad and the Ugly"
Luigi Pistilli,Sergio Leone,"The Good, the Bad and the Ugly"
Rada Rassimov,Sergio Leone,"The Good, the Bad and the Ugly"
Enzo Petito,Sergio Leone,"The Good, the Bad and the Ugly"
Claudio Scarchilli,Sergio Leone,"The Good, the Bad and the Ugly"
John Bartha,Sergio Leone,"The Good, the Bad and the Ugly"
Livio Lorenzon,Sergio Leone,"The Good, the Bad and the Ugly"
Antonio Casale,Sergio Leone,"The Good, the Bad and the Ugly"
Sandro Scarchilli,Sergio Leone,"The Good, the Bad and the Ugly"
Benito Stefanelli,Sergio Leone,"The Good, the Bad and the Ugly"
Angelo Novi,Sergio Leone,"The Good, the Bad and the Ugly"
Antonio Casas,Sergio Leone,"The Good, the Bad and the Ugly"
Aldo Sambrell,Sergio Leone,"The Good, the Bad and the Ugly"
Al Mulock,Sergio Leone,"The Good, the Bad and the Ugly"
Sergio Mendizábal,Sergio Leone,"The Good, the Bad and the Ugly"
Sergio Mendizábal,Sergio Leone,"The Good, the Bad and the Ugly"
Tom Hanks,Robert Zemeckis,Forrest Gump
Robin Wright,Robert Zemeckis,Forrest Gump
Gary Sinise,Robert Zemeckis,Forrest Gump
Sally Field,Robert Zemeckis,Forrest Gump
Rebecca Williams,Robert Zemeckis,Forrest Gump
Michael Conner Humphreys,Robert Zemeckis,Forrest Gump
Harold G. Herthum,Robert Zemeckis,Forrest Gump
George Kelly,Robert Zemeckis,Forrest Gump
Bob Penny,Robert Zemeckis,Forrest Gump
John Randall,Robert Zemeckis,Forrest Gump
Sam Anderson,Robert Zemeckis,Forrest Gump
Margo Moorer,Robert Zemeckis,Forrest Gump
Ione M. Telech,Robert Zemeckis,Forrest Gump
Christine Seabrook,Robert Zemeckis,Forrest Gump
John Worsham,Robert Zemeckis,Forrest Gump
Peter Dobson,Robert Zemeckis,Forrest Gump
Siobhan Fallon Hogan,Robert Zemeckis,Forrest Gump
Alexander Zemeckis,Robert Zemeckis,Forrest Gump
Alexander Zemeckis,Robert Zemeckis,Forrest Gump
Brad Pitt,David Fincher,Fight Club
Edward Norton,David Fincher,Fight Club
Meat Loaf,David Fincher,Fight Club
Zach Grenier,David Fincher,Fight Club
Richmond Arquette,David Fincher,Fight Club
David Andrews,David Fincher,Fight Club
George Maguire,David Fincher,Fight Club
Eugenie Bondurant,David Fincher,Fight Club
Christina Cabot,David Fincher,Fight Club
Helena Bonham Carter,David Fincher,Fight Club
Sydney 'Big Dawg' Colston,David Fincher,Fight Club
Rachel Singer,David Fincher,Fight Club
Christie Cronenweth,David Fincher,Fight Club
Tim DeZarn,David Fincher,Fight Club
Ezra Buzzington,David Fincher,Fight Club
Dierdre Downing-Jackson,David Fincher,Fight Club
Bob Stephenson,David Fincher,Fight Club
Charlie Dell,David Fincher,Fight Club
Charlie Dell,David Fincher,Fight Club
Elijah Wood,Peter Jackson,The Lord of the Rings: The Two Towers
Ian McKellen,Peter Jackson,The Lord of the Rings: The Two Towers
Viggo Mortensen,Peter Jackson,The Lord of the Rings: The Two Towers
Orlando Bloom,Peter Jackson,The Lord of the Rings: The Two Towers
Bruce Allpress,Peter Jackson,The Lord of the Rings: The Two Towers
Sean Astin,Peter Jackson,The Lord of the Rings: The Two Towers
John Bach,Peter Jackson,The Lord of the Rings: The Two Towers
Sala Baker,Peter Jackson,The Lord of the Rings: The Two Towers
Cate Blanchett,Peter Jackson,The Lord of the Rings: The Two Towers
Billy Boyd,Peter Jackson,The Lord of the Rings: The Two Towers
Jed Brophy,Peter Jackson,The Lord of the Rings: The Two Towers
Sam Comery,Peter Jackson,The Lord of the Rings: The Two Towers
Brad Dourif,Peter Jackson,The Lord of the Rings: The Two Towers
Calum Gittins,Peter Jackson,The Lord of the Rings: The Two Towers
Bernard Hill,Peter Jackson,The Lord of the Rings: The Two Towers
Bruce Hopkins,Peter Jackson,The Lord of the Rings: The Two Towers
Paris Howe Strewe,Peter Jackson,The Lord of the Rings: The Two Towers
Christopher Lee,Peter Jackson,The Lord of the Rings: The Two Towers
Christopher Lee,Peter Jackson,The Lord of the Rings: The Two Towers
Leonardo DiCaprio,Christopher Nolan,Inception
Joseph Gordon-Levitt,Christopher Nolan,Inception
Elliot Page,Christopher Nolan,Inception
Ken Watanabe,Christopher Nolan,Inception
Tom Hardy,Christopher Nolan,Inception
Dileep Rao,Christopher Nolan,Inception
Cillian Murphy,Christopher Nolan,Inception
Tom Berenger,Christopher Nolan,Inception
Marion Cotillard,Christopher Nolan,Inception
Pete Postlethwaite,Christopher Nolan,Inception
Michael Caine,Christopher Nolan,Inception
Lukas Haas,Christopher Nolan,Inception
Tai-Li Lee,Christopher Nolan,Inception
Claire Geare,Christopher Nolan,Inception
Magnus Nolan,Christopher Nolan,Inception
Taylor Geare,Christopher Nolan,Inception
Johnathan Geare,Christopher Nolan,Inception
Tohoru Masamune,Christopher Nolan,Inception
Tohoru Masamune,Christopher Nolan,Inception
Mark Hamill,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
Harrison Ford,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
Carrie Fisher,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
Billy Dee Williams,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
Anthony Daniels,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
David Prowse,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
Peter Mayhew,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
Kenny Baker,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
Frank Oz,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
Alec Guinness,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
Jeremy Bulloch,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
John Hollis,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
Jack Purvis,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
Des Webb,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
Clive Revill,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
Kenneth Colley,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
Julian Glover,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
Michael Sheard,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
Michael Sheard,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
Keanu Reeves,Lana Wachowski,The Matrix
Laurence Fishburne,Lana Wachowski,The Matrix
Carrie-Anne Moss,Lana Wachowski,The Matrix
Hugo Weaving,Lana Wachowski,The Matrix
Gloria Foster,Lana Wachowski,The Matrix
Joe Pantoliano,Lana Wachowski,The Matrix
Marcus Chong,Lana Wachowski,The Matrix
Julian Arahanga,Lana Wachowski,The Matrix
Matt Doran,Lana Wachowski,The Matrix
Belinda McClory,Lana Wachowski,The Matrix
Anthony Ray Parker,Lana Wachowski,The Matrix
Paul Goddard,Lana Wachowski,The Matrix
Robert Taylor,Lana Wachowski,The Matrix
David Aston,Lana Wachowski,The Matrix
Marc Aden Gray,Lana Wachowski,The Matrix
Ada Nicodemou,Lana Wachowski,The Matrix
Deni Gordon,Lana Wachowski,The Matrix
Rowan Witt,Lana Wachowski,The Matrix
Rowan Witt,Lana Wachowski,The Matrix
Robert De Niro,Martin Scorsese,Goodfellas
Ray Liotta,Martin Scorsese,Goodfellas
Joe Pesci,Martin Scorsese,Goodfellas
Lorraine Bracco,Martin Scorsese,Goodfellas
Paul Sorvino,Martin Scorsese,Goodfellas
Frank Sivero,Martin Scorsese,Goodfellas
Tony Darrow,Martin Scorsese,Goodfellas
Mike Starr,Martin Scorsese,Goodfellas
Frank Vincent,Martin Scorsese,Goodfellas
Chuck Low,Martin Scorsese,Goodfellas
Frank DiLeo,Martin Scorsese,Goodfellas
Henny Youngman,Martin Scorsese,Goodfellas
Gina Mastrogiacomo,Martin Scorsese,Goodfellas
Catherine Scorsese,Martin Scorsese,Goodfellas
Charles Scorsese,Martin Scorsese,Goodfellas
Suzanne Shepherd,Martin Scorsese,Goodfellas
Debi Mazar,Martin Scorsese,Goodfellas
Margo Winkler,Martin Scorsese,Goodfellas
Margo Winkler,Martin Scorsese,Goodfellas
Jack Nicholson,Milos Forman,One Flew Over the Cuckoo's Nest
Louise Fletcher,Milos Forman,One Flew Over the Cuckoo's Nest
Michael Berryman,Milos Forman,One Flew Over the Cuckoo's Nest
Peter Brocco,Milos Forman,One Flew Over the Cuckoo's Nest
Dean R. Brooks,Milos Forman,One Flew Over the Cuckoo's Nest
Alonzo Brown,Milos Forman,One Flew Over the Cuckoo's Nest
Scatman Crothers,Milos Forman,One Flew Over the Cuckoo's Nest
Mwako Cumbuka,Milos Forman,One Flew Over the Cuckoo's Nest
Danny DeVito,Milos Forman,One Flew Over the Cuckoo's Nest
William Duell,Milos Forman,One Flew Over the Cuckoo's Nest
Josip Elic,Milos Forman,One Flew Over the Cuckoo's Nest
Lan Fendors,Milos Forman,One Flew Over the Cuckoo's Nest
Nathan George,Milos Forman,One Flew Over the Cuckoo's Nest
Ken Kenny,Milos Forman,One Flew Over the Cuckoo's Nest
Mel Lambert,Milos Forman,One Flew Over the Cuckoo's Nest
Sydney Lassick,Milos Forman,One Flew Over the Cuckoo's Nest
Kay Lee,Milos Forman,One Flew Over the Cuckoo's Nest
Christopher Lloyd,Milos Forman,One Flew Over the Cuckoo's Nest
Christopher Lloyd,Milos Forman,One Flew Over the Cuckoo's Nest
Morgan Freeman,David Fincher,Se7en
Brad Pitt,David Fincher,Se7en
Kevin Spacey,David Fincher,Se7en
Andrew Kevin Walker,David Fincher,Se7en
Daniel Zacapa,David Fincher,Se7en
Gwyneth Paltrow,David Fincher,Se7en
John Cassini,David Fincher,Se7en
Bob Mack,David Fincher,Se7en
Peter Crombie,David Fincher,Se7en
Reg E. Cathey,David Fincher,Se7en
R. Lee Ermey,David Fincher,Se7en
George Christy,David Fincher,Se7en
Endre Hules,David Fincher,Se7en
Hawthorne James,David Fincher,Se7en
William Davidson,David Fincher,Se7en
Bob Collins,David Fincher,Se7en
Jimmy Dale Hartsell,David Fincher,Se7en
Richard Roundtree,David Fincher,Se7en
Richard Roundtree,David Fincher,Se7en
Toshirô Mifune,Akira Kurosawa,Seven Samurai
Takashi Shimura,Akira Kurosawa,Seven Samurai
Keiko Tsushima,Akira Kurosawa,Seven Samurai
Yukiko Shimazaki,Akira Kurosawa,Seven Samurai
Kamatari Fujiwara,Akira Kurosawa,Seven Samurai
Daisuke Katô,Akira Kurosawa,Seven Samurai
Isao Kimura,Akira Kurosawa,Seven Samurai
Minoru Chiaki,Akira Kurosawa,Seven Samurai
Seiji Miyaguchi,Akira Kurosawa,Seven Samurai
Yoshio Kosugi,Akira Kurosawa,Seven Samurai
Bokuzen Hidari,Akira Kurosawa,Seven Samurai
Yoshio Inaba,Akira Kurosawa,Seven Samurai
Yoshio Tsuchiya,Akira Kurosawa,Seven Samurai
Kokuten Kôdô,Akira Kurosawa,Seven Samurai
Eijirô Tôno,Akira Kurosawa,Seven Samurai
Kichijirô Ueda,Akira Kurosawa,Seven Samurai
Jun Tatara,Akira Kurosawa,Seven Samurai
Atsushi Watanabe,Akira Kurosawa,Seven Samurai
Atsushi Watanabe,Akira Kurosawa,Seven Samurai
James Stewart,Frank Capra,It's a Wonderful Life
Donna Reed,Frank Capra,It's a Wonderful Life
Lionel Barrymore,Frank Capra,It's a Wonderful Life
Thomas Mitchell,Frank Capra,It's a Wonderful Life
Henry Travers,Frank Capra,It's a Wonderful Life
Beulah Bondi,Frank Capra,It's a Wonderful Life
Frank Faylen,Frank Capra,It's a Wonderful Life
Ward Bond,Frank Capra,It's a Wonderful Life
Gloria Grahame,Frank Capra,It's a Wonderful Life
H.B. Warner,Frank Capra,It's a Wonderful Life
Frank Albertson,Frank Capra,It's a Wonderful Life
Todd Karns,Frank Capra,It's a Wonderful Life
Samuel S. Hinds,Frank Capra,It's a Wonderful Life
Mary Treen,Frank Capra,It's a Wonderful Life
Virginia Patton,Frank Capra,It's a Wonderful Life
Charles Williams,Frank Capra,It's a Wonderful Life
Sarah Edwards,Frank Capra,It's a Wonderful Life
William Edmunds,Frank Capra,It's a Wonderful Life
William Edmunds,Frank Capra,It's a Wonderful Life
Jodie Foster,Jonathan Demme,The Silence of the Lambs
Anthony Hopkins,Jonathan Demme,The Silence of the Lambs
Lawrence A. Bonney,Jonathan Demme,The Silence of the Lambs
Kasi Lemmons,Jonathan Demme,The Silence of the Lambs
Lawrence T. Wrentz,Jonathan Demme,The Silence of the Lambs
Scott Glenn,Jonathan Demme,The Silence of the Lambs
Anthony Heald,Jonathan Demme,The Silence of the Lambs
Frankie Faison,Jonathan Demme,The Silence of the Lambs
Don Brockett,Jonathan Demme,The Silence of the Lambs
Frank Seals Jr.,Jonathan Demme,The Silence of the Lambs
Stuart Rudin,Jonathan Demme,The Silence of the Lambs
Maria Skorobogatov,Jonathan Demme,The Silence of the Lambs
Jeffrie Lane,Jonathan Demme,The Silence of the Lambs
Leib Lensky,Jonathan Demme,The Silence of the Lambs
George 'Red' Schwartz,Jonathan Demme,The Silence of the Lambs
Jim Roche,Jonathan Demme,The Silence of the Lambs
Brooke Smith,Jonathan Demme,The Silence of the Lambs
Ted Levine,Jonathan Demme,The Silence of the Lambs
Ted Levine,Jonathan Demme,The Silence of the Lambs
Alexandre Rodrigues,Fernando Meirelles,City of God
Leandro Firmino,Fernando Meirelles,City of God
Matheus Nachtergaele,Fernando Meirelles,City of God
Phellipe Haagensen,Fernando Meirelles,City of God
Douglas Silva,Fernando Meirelles,City of God
Jonathan Haagensen,Fernando Meirelles,City of God
Seu Jorge,Fernando Meirelles,City of God
Jefechander Suplino,Fernando Meirelles,City of God
Alice Braga,Fernando Meirelles,City of God
Emerson Gomes,Fernando Meirelles,City of God
Edson Oliveira,Fernando Meirelles,City of God
Michel Gomes,Fernando Meirelles,City of God
Roberta Rodrigues,Fernando Meirelles,City of God
Luis Otávio,Fernando Meirelles,City of God
Kiko Marques,Fernando Meirelles,City of God
Gustavo Engrácia,Fernando Meirelles,City of God
Darlan Cunha,Fernando Meirelles,City of God
Robson Rocha,Fernando Meirelles,City of God
Robson Rocha,Fernando Meirelles,City of God
Tom Hanks,Steven Spielberg,Saving Private Ryan
Matt Damon,Steven Spielberg,Saving Private Ryan
Tom Sizemore,Steven Spielberg,Saving Private Ryan
Edward Burns,Steven Spielberg,Saving Private Ryan
Barry Pepper,Steven Spielberg,Saving Private Ryan
Adam Goldberg,Steven Spielberg,Saving Private Ryan
Vin Diesel,Steven Spielberg,Saving Private Ryan
Giovanni Ribisi,Steven Spielberg,Saving Private Ryan
Jeremy Davies,Steven Spielberg,Saving Private Ryan
Ted Danson,Steven Spielberg,Saving Private Ryan
Paul Giamatti,Steven Spielberg,Saving Private Ryan
Dennis Farina,Steven Spielberg,Saving Private Ryan
Joerg Stadler,Steven Spielberg,Saving Private Ryan
Max Martini,Steven Spielberg,Saving Private Ryan
Dylan Bruno,Steven Spielberg,Saving Private Ryan
Daniel Cerqueira,Steven Spielberg,Saving Private Ryan
Demetri Goritsas,Steven Spielberg,Saving Private Ryan
Ian Porter,Steven Spielberg,Saving Private Ryan
Ian Porter,Steven Spielberg,Saving Private Ryan
Matthew McConaughey,Christopher Nolan,Interstellar
Anne Hathaway,Christopher Nolan,Interstellar
Jessica Chastain,Christopher Nolan,Interstellar
Mackenzie Foy,Christopher Nolan,Interstellar
Ellen Burstyn,Christopher Nolan,Interstellar
John Lithgow,Christopher Nolan,Interstellar
Timothée Chalamet,Christopher Nolan,Interstellar
David Oyelowo,Christopher Nolan,Interstellar
Collette Wolfe,Christopher Nolan,Interstellar
Francis X. McCarthy,Christopher Nolan,Interstellar
Bill Irwin,Christopher Nolan,Interstellar
Andrew Borba,Christopher Nolan,Interstellar
Wes Bentley,Christopher Nolan,Interstellar
William Devane,Christopher Nolan,Interstellar
Michael Caine,Christopher Nolan,Interstellar
David Gyasi,Christopher Nolan,Interstellar
Josh Stewart,Christopher Nolan,Interstellar
Casey Affleck,Christopher Nolan,Interstellar
Casey Affleck,Christopher Nolan,Interstellar
Roberto Benigni,Roberto Benigni,Life Is Beautiful
Nicoletta Braschi,Roberto Benigni,Life Is Beautiful
Giorgio Cantarini,Roberto Benigni,Life Is Beautiful
Giustino Durano,Roberto Benigni,Life Is Beautiful
Sergio Bini Bustric,Roberto Benigni,Life Is Beautiful
Marisa Paredes,Roberto Benigni,Life Is Beautiful
Horst Buchholz,Roberto Benigni,Life Is Beautiful
Lidia Alfonsi,Roberto Benigni,Life Is Beautiful
Giuliana Lojodice,Roberto Benigni,Life Is Beautiful
Amerigo Fontani,Roberto Benigni,Life Is Beautiful
Pietro De Silva,Roberto Benigni,Life Is Beautiful
Francesco Guzzo,Roberto Benigni,Life Is Beautiful
Raffaella Lebboroni,Roberto Benigni,Life Is Beautiful
Claudio Alfonsi,Roberto Benigni,Life Is Beautiful
Gil Baroni,Roberto Benigni,Life Is Beautiful
Massimo Bianchi,Roberto Benigni,Life Is Beautiful
Jürgen Bohn,Roberto Benigni,Life Is Beautiful
Verena Buratti,Roberto Benigni,Life Is Beautiful
Verena Buratti,Roberto Benigni,Life Is Beautiful
Tom Hanks,Frank Darabont,The Green Mile
Michael Clarke Duncan,Frank Darabont,The Green Mile
David Morse,Frank Darabont,The Green Mile
Bonnie Hunt,Frank Darabont,The Green Mile
James Cromwell,Frank Darabont,The Green Mile
Michael Jeter,Frank Darabont,The Green Mile
Graham Greene,Frank Darabont,The Green Mile
Doug Hutchison,Frank Darabont,The Green Mile
Sam Rockwell,Frank Darabont,The Green Mile
Barry Pepper,Frank Darabont,The Green Mile
Jeffrey DeMunn,Frank Darabont,The Green Mile
Patricia Clarkson,Frank Darabont,The Green Mile
Harry Dean Stanton,Frank Darabont,The Green Mile
