actors,director,movie_name
Jordan Charney,Sidney Lumet,Network
Kathy Cronkite,Sidney Lumet,Network
Ed Crowley,Sidney Lumet,Network
Jerome Dempsey,Sidney Lumet,Network
Conchata Ferrell,Sidney Lumet,Network
Gene Gross,Sidney Lumet,Network
Stanley Grover,Sidney Lumet,Network
Cindy Grover,Sidney Lumet,Network
Darryl Hickman,Sidney Lumet,Network
Darryl Hickman,Sidney Lumet,Network
Emile Hirsch,Sean Penn,Into the Wild
Vince Vaughn,Sean Penn,Into the Wild
Catherine Keener,Sean Penn,Into the Wild
Marcia Gay Harden,Sean Penn,Into the Wild
William Hurt,Sean Penn,Into the Wild
Jena Malone,Sean Penn,Into the Wild
Brian H. Dierker,Sean Penn,Into the Wild
Kristen Stewart,Sean Penn,Into the Wild
Hal Holbrook,Sean Penn,Into the Wild
Jim Gallien,Sean Penn,Into the Wild
James O'Neill,Sean Penn,Into the Wild
Malinda McCollum,Sean Penn,Into the Wild
Paul Knauls,Sean Penn,Into the Wild
Zach Galifianakis,Sean Penn,Into the Wild
Craig Mutsch,Sean Penn,Into the Wild
Jim Beidler,Sean Penn,Into the Wild
John Decker,Sean Penn,Into the Wild
John Hofer,Sean Penn,Into the Wild
John Hofer,Sean Penn,Into the Wild
Ethan Hawke,Richard Linklater,Before Sunset
Julie Delpy,Richard Linklater,Before Sunset
Vernon Dobtcheff,Richard Linklater,Before Sunset
Louise Lemoine Torrès,Richard Linklater,Before Sunset
Rodolphe Pauly,Richard Linklater,Before Sunset
Mariane Plasteig,Richard Linklater,Before Sunset
Diabolo,Richard Linklater,Before Sunset
Denis Evrard,Richard Linklater,Before Sunset
Albert Delpy,Richard Linklater,Before Sunset
Marie Pillet,Richard Linklater,Before Sunset
Marie Pillet,Richard Linklater,Before Sunset
Judy Garland,Victor Fleming,The Wizard of Oz
Frank Morgan,Victor Fleming,The Wizard of Oz
Ray Bolger,Victor Fleming,The Wizard of Oz
Bert Lahr,Victor Fleming,The Wizard of Oz
Jack Haley,Victor Fleming,The Wizard of Oz
Billie Burke,Victor Fleming,The Wizard of Oz
Margaret Hamilton,Victor Fleming,The Wizard of Oz
Charley Grapewin,Victor Fleming,The Wizard of Oz
Pat Walshe,Victor Fleming,The Wizard of Oz
Clara Blandick,Victor Fleming,The Wizard of Oz
Terry,Victor Fleming,The Wizard of Oz
The Singer Midgets,Victor Fleming,The Wizard of Oz
Franz Balluck,Victor Fleming,The Wizard of Oz
Josefine Balluck,Victor Fleming,The Wizard of Oz
Dorothy Barrett,Victor Fleming,The Wizard of Oz
Amelia Batchelor,Victor Fleming,The Wizard of Oz
Charles Becker,Victor Fleming,The Wizard of Oz
Freda Betsky,Victor Fleming,The Wizard of Oz
Freda Betsky,Victor Fleming,The Wizard of Oz
Kanu Bannerjee,Satyajit Ray,Pather Panchali
Karuna Bannerjee,Satyajit Ray,Pather Panchali
Subir Banerjee,Satyajit Ray,Pather Panchali
Chunibala Devi,Satyajit Ray,Pather Panchali
Uma Das Gupta,Satyajit Ray,Pather Panchali
Runki Banerjee,Satyajit Ray,Pather Panchali
Reba Devi,Satyajit Ray,Pather Panchali
Aparna Devi,Satyajit Ray,Pather Panchali
Tulsi Chakraborty,Satyajit Ray,Pather Panchali
Haren Banerjee,Satyajit Ray,Pather Panchali
Rampada Das,Satyajit Ray,Pather Panchali
Nibhanani Devi,Satyajit Ray,Pather Panchali
Rama Gangopadhaya,Satyajit Ray,Pather Panchali
Roma Ganguli,Satyajit Ray,Pather Panchali
Binoy Mukherjee,Satyajit Ray,Pather Panchali
Haridhan Nag,Satyajit Ray,Pather Panchali
Harimohan Nag,Satyajit Ray,Pather Panchali
Kshirod Roy,Satyajit Ray,Pather Panchali
Kshirod Roy,Satyajit Ray,Pather Panchali
Myrna Loy,William Wyler,The Best Years of Our Lives
Dana Andrews,William Wyler,The Best Years of Our Lives
Fredric March,William Wyler,The Best Years of Our Lives
Teresa Wright,William Wyler,The Best Years of Our Lives
Virginia Mayo,William Wyler,The Best Years of Our Lives
Cathy O'Donnell,William Wyler,The Best Years of Our Lives
Hoagy Carmichael,William Wyler,The Best Years of Our Lives
Harold Russell,William Wyler,The Best Years of Our Lives
Gladys George,William Wyler,The Best Years of Our Lives
Roman Bohnen,William Wyler,The Best Years of Our Lives
Ray Collins,William Wyler,The Best Years of Our Lives
Minna Gombell,William Wyler,The Best Years of Our Lives
Walter Baldwin,William Wyler,The Best Years of Our Lives
Steve Cochran,William Wyler,The Best Years of Our Lives
Dorothy Adams,William Wyler,The Best Years of Our Lives
Don Beddoe,William Wyler,The Best Years of Our Lives
Marlene Aames,William Wyler,The Best Years of Our Lives
Charles Halton,William Wyler,The Best Years of Our Lives
Charles Halton,William Wyler,The Best Years of Our Lives
Bill Murray,Harold Ramis,Groundhog Day
Andie MacDowell,Harold Ramis,Groundhog Day
Chris Elliott,Harold Ramis,Groundhog Day
Stephen Tobolowsky,Harold Ramis,Groundhog Day
Brian Doyle-Murray,Harold Ramis,Groundhog Day
Marita Geraghty,Harold Ramis,Groundhog Day
Angela Paton,Harold Ramis,Groundhog Day
Rick Ducommun,Harold Ramis,Groundhog Day
Rick Overton,Harold Ramis,Groundhog Day
Robin Duke,Harold Ramis,Groundhog Day
Carol Bivins,Harold Ramis,Groundhog Day
Willie Garson,Harold Ramis,Groundhog Day
Ken Hudson Campbell,Harold Ramis,Groundhog Day
Les Podewell,Harold Ramis,Groundhog Day
Rod Sell,Harold Ramis,Groundhog Day
Tom Milanovich,Harold Ramis,Groundhog Day
John M. Watson Sr.,Harold Ramis,Groundhog Day
Peggy Roeder,Harold Ramis,Groundhog Day
Peggy Roeder,Harold Ramis,Groundhog Day
Ellen Burstyn,William Friedkin,The Exorcist
Max von Sydow,William Friedkin,The Exorcist
Linda Blair,William Friedkin,The Exorcist
Lee J. Cobb,William Friedkin,The Exorcist
Kitty Winn,William Friedkin,The Exorcist
Jack MacGowran,William Friedkin,The Exorcist
Jason Miller,William Friedkin,The Exorcist
William O'Malley,William Friedkin,The Exorcist
Barton Heyman,William Friedkin,The Exorcist
Peter Masterson,William Friedkin,The Exorcist
Rudolf Schündler,William Friedkin,The Exorcist
Gina Petrushka,William Friedkin,The Exorcist
Robert Symonds,William Friedkin,The Exorcist
Arthur Storch,William Friedkin,The Exorcist
Thomas Bermingham,William Friedkin,The Exorcist
Vasiliki Maliaros,William Friedkin,The Exorcist
Titos Vandis,William Friedkin,The Exorcist
John Mahon,William Friedkin,The Exorcist
John Mahon,William Friedkin,The Exorcist
Craig T. Nelson,Brad Bird,The Incredibles
Samuel L. Jackson,Brad Bird,The Incredibles
